Id,MSSubClass,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,ExterQual,BsmtQual,TotalBsmtSF,CentralAir,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
39,20,7922,NAmes,1Story,5,7,1953,Gable,TA,TA,1057,Y,SBrkr,1057,1,3,1,Gd,5,0,1,246,0,1,2010,WD,Abnorml,109000
40,90,6040,Edwards,1Story,4,5,1955,Gable,TA,NA,0,N,FuseP,1152,2,2,2,Fa,6,0,0,0,0,6,2008,WD,AdjLand,82000
41,20,8658,NAmes,1Story,6,5,1965,Gable,TA,TA,1088,Y,SBrkr,1324,2,3,1,TA,6,1,2,440,0,12,2006,WD,Abnorml,160000
42,20,16905,Timber,1Story,5,6,1959,Gable,TA,TA,1350,Y,SBrkr,1328,1,2,1,TA,5,2,1,308,0,7,2007,WD,Normal,170000
43,85,9180,SawyerW,SFoyer,5,7,1983,Gable,TA,Gd,840,Y,SBrkr,884,1,2,1,Gd,5,0,2,504,0,12,2007,WD,Normal,144000
44,20,9200,CollgCr,1Story,5,6,1975,Hip,TA,Gd,938,Y,SBrkr,938,1,3,1,TA,5,0,1,308,0,7,2008,WD,Normal,130250
45,20,7945,NAmes,1Story,5,6,1959,Gable,TA,TA,1150,Y,FuseA,1150,1,3,1,TA,6,0,1,300,0,5,2006,WD,Normal,141000
46,120,7658,NridgHt,1Story,9,5,2005,Hip,Ex,Ex,1752,Y,SBrkr,1752,2,2,1,Ex,6,1,2,576,0,2,2010,WD,Normal,319900
47,50,12822,Mitchel,1.5Fin,7,5,2003,Gable,Gd,Ex,1434,Y,SBrkr,2149,1,1,1,Gd,6,1,2,670,0,8,2009,WD,Abnorml,239686
48,20,11096,Somerst,1Story,8,5,2006,Gable,Gd,Gd,1656,Y,SBrkr,1656,2,3,1,Gd,7,0,3,826,0,7,2007,WD,Normal,249700
49,190,4456,OldTown,2Story,4,5,1920,Gable,TA,TA,736,Y,SBrkr,1452,2,2,3,TA,8,0,0,0,0,6,2009,New,Partial,113000
50,20,7742,Sawyer,1Story,5,7,1966,Gable,TA,TA,955,Y,SBrkr,955,1,3,1,TA,6,0,1,386,0,1,2007,WD,Normal,127000
51,60,13869,Gilbert,2Story,6,6,1997,Gable,TA,Gd,794,Y,SBrkr,1470,2,3,1,TA,6,0,2,388,0,7,2007,WD,Normal,177000
52,50,6240,BrkSide,1.5Fin,6,6,1934,Gable,TA,TA,816,Y,SBrkr,1176,1,3,1,TA,6,1,2,528,0,9,2006,WD,Normal,114500
53,90,8472,IDOTRR,1Story,5,5,1963,Gable,Fa,Gd,816,N,SBrkr,816,1,2,1,TA,5,0,2,516,0,5,2010,WD,Normal,110000
54,20,50271,Veenker,1Story,9,5,1981,Gable,Gd,Ex,1842,Y,SBrkr,1842,0,0,1,Gd,5,1,3,894,0,11,2006,WD,Normal,385000
55,80,7134,NAmes,SLvl,5,5,1955,Gable,TA,TA,384,Y,SBrkr,1360,1,3,1,TA,6,1,2,572,0,2,2007,WD,Normal,130000
56,20,10175,NAmes,1Story,6,5,1964,Gable,TA,TA,1425,Y,SBrkr,1425,2,3,1,TA,7,1,2,576,0,7,2008,WD,Normal,180500
57,160,2645,Somerst,2Story,8,5,1999,Gable,Gd,Gd,970,Y,SBrkr,1739,2,3,1,Gd,7,0,2,480,0,8,2009,WD,Abnorml,172500
58,60,11645,CollgCr,2Story,7,5,2004,Gable,Gd,Gd,860,Y,SBrkr,1720,2,3,1,Gd,7,0,2,565,0,8,2006,WD,Normal,196500
59,60,13682,StoneBr,2Story,10,5,2006,Hip,Ex,Ex,1410,Y,SBrkr,2945,3,3,1,Gd,10,1,3,641,0,10,2006,New,Partial,438780
60,20,7200,CollgCr,1Story,5,7,1972,Gable,TA,TA,780,Y,SBrkr,780,1,2,1,TA,4,0,1,352,0,1,2008,WD,Normal,124900
61,20,13072,SawyerW,1Story,6,5,2004,Gable,TA,Gd,1158,Y,SBrkr,1158,1,3,1,Gd,5,0,2,576,0,5,2006,New,Partial,158000
62,75,7200,IDOTRR,2.5Unf,5,7,1920,Gable,TA,TA,530,N,SBrkr,1111,1,3,1,Fa,6,0,1,288,0,3,2007,WD,Normal,101000
63,120,6442,NridgHt,1Story,8,5,2006,Gable,Gd,Gd,1370,Y,SBrkr,1370,2,2,1,Gd,6,1,2,484,0,10,2007,WD,Normal,202500
64,70,10300,OldTown,2Story,7,6,1921,Gable,TA,TA,576,Y,SBrkr,1710,2,3,1,TA,9,0,2,480,0,4,2010,WD,Normal,140000
65,60,9375,CollgCr,2Story,7,5,1997,Gable,TA,Gd,1057,Y,SBrkr,2034,2,3,1,Gd,8,0,2,645,0,2,2009,WD,Normal,219500
66,60,9591,NridgHt,2Story,8,5,2004,Gable,Gd,Ex,1143,Y,SBrkr,2473,2,4,1,Gd,9,1,3,852,0,10,2007,WD,Normal,317000
67,20,19900,NAmes,1Story,7,5,1970,Gable,TA,Gd,1947,Y,SBrkr,2207,2,3,1,TA,7,1,2,576,0,7,2010,WD,Normal,180000
68,20,10665,CollgCr,1Story,7,5,2003,Gable,Gd,Gd,1453,Y,SBrkr,1479,2,3,1,Gd,7,0,2,558,0,6,2007,WD,Normal,226000
69,30,4608,OldTown,1Story,4,6,1945,Gable,TA,TA,747,Y,SBrkr,747,1,2,1,TA,4,0,1,220,0,6,2010,WD,Normal,80000
70,50,15593,ClearCr,1.5Fin,7,4,1953,Gable,Gd,TA,1304,Y,SBrkr,2287,2,3,1,TA,7,1,2,667,0,7,2006,WD,Normal,225000
71,20,13651,NAmes,1Story,7,6,1973,Gable,TA,Gd,2223,Y,SBrkr,2223,2,3,1,TA,8,2,2,516,0,2,2007,WD,Normal,244000
72,20,7599,Mitchel,1Story,4,6,1982,Gable,TA,TA,845,Y,SBrkr,845,1,2,1,TA,4,0,2,360,0,6,2007,WD,Normal,129500
73,60,10141,Gilbert,2Story,7,5,1998,Gable,TA,Gd,832,Y,SBrkr,1718,2,3,1,TA,7,1,2,427,0,12,2009,WD,Normal,185000
74,20,10200,NAmes,1Story,5,7,1954,Gable,TA,TA,1086,Y,SBrkr,1086,1,3,1,TA,6,0,2,490,0,5,2010,WD,Normal,144900
75,50,5790,OldTown,2Story,3,6,1915,Gambrel,Gd,Fa,840,N,SBrkr,1605,2,3,2,TA,8,0,1,379,0,5,2010,WD,Normal,107400
76,180,1596,MeadowV,SLvl,4,5,1973,Gable,TA,Gd,462,Y,SBrkr,988,1,2,1,TA,5,0,1,297,0,11,2009,WD,Normal,91000
77,20,8475,NAmes,1Story,4,7,1956,Gable,TA,TA,952,Y,FuseA,952,1,2,1,TA,4,0,1,283,0,4,2008,WD,Normal,135750
78,50,8635,BrkSide,1.5Fin,5,5,1948,Gable,TA,TA,672,Y,SBrkr,1285,1,2,1,TA,6,0,1,240,0,1,2008,WD,Normal,127000
79,90,10778,Sawyer,1Story,4,5,1968,Hip,TA,TA,1768,N,SBrkr,1768,2,4,2,TA,8,0,0,0,0,4,2010,WD,Normal,136500
80,50,10440,OldTown,2Story,5,6,1910,Gable,TA,TA,440,Y,SBrkr,1230,1,2,1,TA,5,0,2,440,0,5,2009,WD,Normal,110000
81,60,13000,NAmes,2Story,6,6,1968,Gable,TA,Gd,896,Y,SBrkr,2142,2,4,1,Gd,8,1,1,509,0,6,2009,WD,Normal,193500
82,120,4500,Mitchel,1Story,6,5,1998,Hip,TA,Ex,1237,Y,SBrkr,1337,2,2,1,TA,5,0,2,405,0,3,2006,WD,Normal,153500
83,20,10206,Somerst,1Story,8,5,2007,Gable,TA,Gd,1563,Y,SBrkr,1563,2,3,1,Gd,6,1,3,758,0,10,2008,WD,Normal,245000
84,20,8892,NAmes,1Story,5,5,1960,Gable,TA,TA,1065,Y,SBrkr,1065,1,3,1,TA,6,0,2,461,0,7,2007,COD,Normal,126500
85,80,8530,Gilbert,SLvl,7,5,1995,Gable,TA,Gd,384,Y,SBrkr,1474,2,3,1,TA,7,1,2,400,0,5,2009,WD,Normal,168500
86,60,16059,NoRidge,2Story,8,5,1991,Hip,Gd,Gd,1288,Y,SBrkr,2417,2,4,1,Gd,9,1,2,462,0,4,2006,WD,Normal,260000
87,60,11911,Gilbert,2Story,6,5,2005,Gable,Gd,Gd,684,Y,SBrkr,1560,2,3,1,Gd,6,1,2,400,0,3,2009,WD,Normal,174000
88,160,3951,Somerst,2Story,6,5,2009,Gable,Gd,Gd,612,Y,SBrkr,1224,2,2,1,Gd,4,0,2,528,0,6,2009,New,Partial,164500
89,50,8470,IDOTRR,1.5Fin,3,2,1915,Hip,Fa,TA,1013,N,SBrkr,1526,1,2,1,Fa,6,0,0,0,0,10,2009,ConLD,Abnorml,85000
90,20,8070,CollgCr,1Story,4,5,1994,Gable,TA,Gd,990,Y,SBrkr,990,1,3,1,TA,5,0,0,0,0,8,2007,WD,Normal,123600
91,20,7200,NAmes,1Story,4,5,1950,Gable,TA,NA,0,Y,FuseA,1040,1,2,1,TA,4,0,2,420,0,7,2006,WD,Normal,109900
92,20,8500,NAmes,1Story,5,3,1961,Hip,TA,TA,1235,Y,SBrkr,1235,1,2,1,TA,6,0,2,480,0,12,2006,WD,Abnorml,98600
93,30,13360,Crawfor,1Story,5,7,1921,Gable,TA,Gd,876,Y,SBrkr,964,1,2,1,TA,5,0,2,432,0,8,2009,WD,Normal,163500
94,190,7200,OldTown,2.5Unf,6,6,1910,Hip,TA,TA,1214,N,SBrkr,2291,2,4,2,TA,9,1,2,506,0,11,2007,WD,Normal,133900
95,60,9337,CollgCr,2Story,6,5,1997,Gable,TA,Gd,824,Y,SBrkr,1786,2,3,1,Gd,7,0,2,684,0,5,2007,WD,Normal,204750
96,60,9765,Gilbert,2Story,6,8,1993,Gable,Ex,Gd,680,Y,SBrkr,1470,2,3,1,TA,6,1,2,420,0,4,2009,WD,Normal,185000
97,20,10264,CollgCr,1Story,7,5,1999,Gable,Gd,Gd,1588,Y,SBrkr,1588,2,3,1,Gd,6,0,2,472,0,8,2006,WD,Normal,214000
98,20,10921,Edwards,1Story,4,5,1965,Hip,TA,TA,960,Y,FuseF,960,1,3,1,TA,6,0,1,432,0,5,2007,WD,Normal,94750
99,30,10625,Edwards,1Story,5,5,1920,Gable,TA,TA,458,N,SBrkr,835,1,2,1,TA,5,0,1,366,0,5,2010,COD,Abnorml,83000
100,20,9320,NAmes,1Story,4,5,1959,Gable,TA,TA,950,Y,SBrkr,1225,1,3,1,TA,6,0,0,0,0,1,2010,WD,Normal,128950
101,20,10603,NWAmes,1Story,6,7,1977,Gable,TA,TA,1610,Y,SBrkr,1610,2,3,1,Gd,6,2,2,480,0,2,2010,WD,Normal,205000
102,60,9206,SawyerW,2Story,6,5,1985,Gable,Gd,Gd,741,Y,SBrkr,1732,2,3,1,Gd,7,1,2,476,0,6,2010,WD,Normal,178000
103,90,7018,SawyerW,1Story,5,5,1979,Gable,TA,NA,0,Y,SBrkr,1535,2,4,2,TA,8,0,2,410,0,6,2009,WD,Alloca,118964
104,20,10402,CollgCr,1Story,7,5,2009,Gable,TA,Gd,1226,Y,SBrkr,1226,2,3,1,Gd,6,0,3,740,0,5,2010,WD,Normal,198900
105,50,7758,IDOTRR,1.5Fin,7,4,1931,Gable,TA,TA,1040,Y,FuseF,1818,1,4,1,TA,7,2,1,240,0,6,2007,WD,Normal,169500
106,60,9375,Somerst,2Story,8,5,2003,Hip,Gd,Ex,1053,Y,SBrkr,1992,2,3,1,Gd,9,1,2,648,0,8,2008,WD,Normal,250000
107,30,10800,OldTown,1Story,4,7,1885,Mansard,TA,Fa,641,Y,SBrkr,1047,1,2,1,TA,6,0,1,273,0,8,2007,WD,Normal,100000
108,20,6000,OldTown,1Story,5,5,1948,Gable,TA,TA,789,Y,SBrkr,789,1,2,1,TA,5,0,1,250,0,4,2008,WD,Partial,115000
109,50,8500,IDOTRR,1.5Fin,5,7,1919,Gable,TA,TA,793,N,FuseF,1517,2,3,1,Fa,7,0,0,0,0,8,2007,WD,Normal,115000
110,20,11751,NWAmes,1Story,6,6,1977,Hip,TA,Gd,1844,Y,SBrkr,1844,2,3,1,TA,7,1,2,546,0,1,2010,COD,Normal,190000
111,50,9525,Edwards,1.5Fin,6,4,1954,Gable,TA,TA,994,Y,SBrkr,1855,2,4,1,TA,7,0,1,325,0,10,2006,WD,Normal,136900
112,80,7750,Gilbert,SLvl,7,5,2000,Gable,TA,Gd,384,Y,SBrkr,1430,2,3,1,TA,7,1,2,400,0,4,2010,WD,Normal,180000
113,60,9965,CollgCr,2Story,7,5,2007,Gable,Gd,Ex,1264,Y,SBrkr,2696,2,4,1,Ex,10,1,3,792,0,10,2007,New,Partial,383970
114,20,21000,Crawfor,1Story,6,5,1953,Hip,TA,Gd,1809,Y,SBrkr,2259,2,3,1,Gd,7,2,2,450,0,10,2007,COD,Abnorml,217000
115,70,7259,Crawfor,2Story,6,8,1945,Gambrel,TA,TA,1028,Y,SBrkr,2320,2,3,1,Gd,9,1,1,180,0,7,2007,WD,Normal,259500
116,160,3230,Somerst,2Story,6,5,1999,Gable,TA,Gd,729,Y,SBrkr,1458,2,2,1,TA,5,1,2,440,0,6,2007,WD,Normal,176000
117,20,11616,Sawyer,1Story,5,5,1962,Gable,TA,TA,1092,Y,SBrkr,1092,1,3,1,TA,6,1,1,288,0,9,2009,WD,Normal,139000
118,20,8536,Edwards,1Story,5,5,2006,Gable,TA,Gd,1125,Y,SBrkr,1125,1,2,1,TA,5,0,2,430,0,4,2007,New,Partial,155000
119,60,12376,SawyerW,2Story,7,5,1990,Hip,TA,Gd,1673,Y,SBrkr,3222,3,5,1,Gd,11,2,3,594,0,5,2010,WD,Normal,320000
120,60,8461,CollgCr,2Story,6,5,2005,Gable,Gd,Gd,728,Y,SBrkr,1456,2,3,1,Gd,8,1,2,390,0,7,2006,New,Partial,163990
121,80,21453,ClearCr,SLvl,6,5,1969,Flat,TA,TA,938,Y,SBrkr,988,1,1,1,TA,4,2,2,540,0,10,2006,WD,Normal,180000
122,50,6060,IDOTRR,1.5Fin,4,5,1939,Gable,TA,TA,732,Y,SBrkr,1123,1,3,1,TA,4,0,1,264,0,6,2007,WD,Normal,100000
123,20,9464,NAmes,1Story,6,7,1958,Hip,TA,TA,1080,Y,SBrkr,1080,1,3,1,TA,5,0,1,288,0,6,2008,WD,Normal,136000
124,120,7892,SawyerW,1Story,6,5,1993,Gable,Gd,Gd,1199,Y,SBrkr,1199,2,2,1,Gd,5,0,2,530,0,3,2008,WD,Normal,153900
125,20,17043,NWAmes,1Story,6,5,1979,Gable,TA,Gd,1362,Y,SBrkr,1586,2,3,1,TA,7,1,2,435,0,1,2009,WD,Normal,181000
126,190,6780,IDOTRR,1.5Fin,6,8,1935,Gable,TA,TA,520,N,SBrkr,754,1,2,1,TA,5,0,0,0,0,6,2006,WD,Normal,84500
127,120,4928,NPkVill,1Story,6,5,1976,Gable,TA,Gd,1078,Y,SBrkr,958,2,2,1,TA,5,1,2,440,0,2,2007,WD,Normal,128000
128,45,4388,OldTown,1.5Unf,5,7,1930,Gable,TA,TA,672,Y,SBrkr,840,1,3,1,TA,5,1,0,0,0,6,2007,WD,Normal,87000
129,60,7590,NAmes,2Story,6,5,1966,Gable,TA,TA,660,Y,SBrkr,1348,1,3,1,TA,6,1,2,453,0,7,2006,WD,Normal,155000
130,20,8973,NAmes,1Story,5,7,1958,Gable,TA,TA,1008,Y,FuseA,1053,1,3,1,Ex,6,0,2,750,0,7,2006,WD,Abnorml,150000
131,60,14200,NAmes,2Story,7,6,1966,Gable,TA,TA,924,Y,SBrkr,2157,2,4,1,Gd,8,2,2,487,0,5,2006,WD,Normal,226000
132,60,12224,Gilbert,2Story,6,5,2000,Gable,Gd,Gd,992,Y,SBrkr,2054,2,3,1,Gd,7,1,2,390,0,7,2009,WD,Normal,244000
133,20,7388,NAmes,1Story,5,6,1959,Gable,TA,TA,1063,Y,SBrkr,1327,1,3,1,Gd,7,0,2,624,0,7,2007,WD,Normal,150750
134,20,6853,Timber,1Story,8,5,2001,Gable,Gd,Ex,1267,Y,SBrkr,1296,2,2,1,Gd,6,0,2,471,0,6,2009,WD,Normal,220000
135,20,10335,Sawyer,1Story,5,6,1968,Gable,TA,TA,1461,Y,SBrkr,1721,2,3,1,TA,7,1,2,440,0,7,2006,WD,Normal,180000
136,20,10400,NWAmes,1Story,7,6,1970,Hip,TA,TA,1304,Y,SBrkr,1682,2,3,1,TA,7,1,2,530,0,5,2008,WD,Normal,174000
137,20,10355,NAmes,1Story,5,5,1967,Gable,TA,TA,1214,Y,SBrkr,1214,2,3,1,TA,5,1,1,318,0,7,2007,WD,Normal,143000
138,90,11070,Mitchel,1Story,7,5,1988,Gable,TA,TA,1907,Y,SBrkr,1959,3,5,2,TA,9,0,3,766,0,7,2006,WD,Family,171000
139,60,9066,CollgCr,2Story,8,5,1999,Gable,Gd,Gd,1004,Y,SBrkr,1852,2,3,1,Gd,7,2,3,660,0,12,2008,WD,Normal,230000
140,60,15426,CollgCr,2Story,6,5,1997,Gable,TA,Gd,928,Y,SBrkr,1764,2,3,1,Gd,7,0,2,470,0,8,2009,WD,Normal,231500
141,20,10500,NAmes,1Story,4,5,1971,Gable,TA,TA,864,Y,SBrkr,864,1,3,1,TA,5,1,0,0,0,4,2010,ConLI,Normal,115000
142,20,11645,CollgCr,1Story,7,5,2005,Gable,Gd,Gd,1734,Y,SBrkr,1734,2,3,1,Gd,7,0,2,660,0,1,2006,WD,Normal,260000
143,50,8520,NAmes,1.5Fin,5,4,1952,Gable,TA,TA,910,Y,SBrkr,1385,2,4,1,TA,6,0,2,720,0,6,2010,WD,Normal,166000
144,20,10335,CollgCr,1Story,7,5,1999,Gable,Gd,Gd,1490,Y,SBrkr,1501,2,3,1,Gd,6,0,2,577,0,6,2009,WD,Normal,204000
145,90,9100,Sawyer,1Story,5,5,1963,Gable,TA,TA,1728,Y,SBrkr,1728,2,6,2,TA,10,0,2,504,0,11,2006,ConLI,Abnorml,125000
146,160,2522,Edwards,2Story,6,5,2004,Gable,Gd,Gd,970,Y,SBrkr,1709,2,3,1,Gd,7,0,2,380,0,4,2006,WD,Normal,130000
147,30,6120,BrkSide,1Story,5,7,1931,Gable,TA,TA,715,Y,FuseA,875,1,2,1,TA,5,0,1,180,0,11,2009,WD,Normal,105000
148,60,9505,Gilbert,2Story,7,5,2001,Gable,Gd,Gd,884,Y,SBrkr,2035,2,3,1,Gd,8,1,2,434,0,5,2010,WD,Normal,222500
149,20,7500,SawyerW,1Story,7,5,2004,Gable,TA,Gd,1080,Y,SBrkr,1080,1,3,1,Gd,6,0,0,0,0,4,2008,WD,Normal,141000
150,50,6240,BrkSide,1.5Fin,5,4,1936,Gable,TA,Gd,896,Y,FuseA,1344,1,3,1,TA,7,0,1,240,0,4,2006,WD,Normal,115000
151,20,10356,CollgCr,1Story,5,6,1975,Gable,TA,TA,969,Y,SBrkr,969,1,3,1,TA,5,0,2,440,0,1,2007,WD,Normal,122000
152,20,13891,NridgHt,1Story,8,5,2007,Hip,Gd,Ex,1710,Y,SBrkr,1710,2,2,1,Gd,6,1,3,866,0,1,2008,New,Partial,372402
153,60,14803,NWAmes,2Story,6,5,1971,Gable,TA,TA,825,Y,SBrkr,1993,2,4,1,TA,8,1,2,495,0,6,2006,WD,Normal,190000
154,20,13500,ClearCr,1Story,6,7,1960,Flat,TA,Gd,1602,Y,SBrkr,1252,1,1,1,TA,4,1,2,564,0,3,2008,WD,Normal,235000
155,30,11340,OldTown,1Story,6,5,1923,Gable,TA,TA,1200,Y,FuseA,1200,1,4,1,TA,7,0,1,312,0,3,2006,WD,Family,125000
156,50,9600,Edwards,1.5Fin,6,5,1924,Gable,TA,TA,572,N,FuseF,1096,1,2,1,TA,5,0,0,0,0,4,2008,WD,Normal,79000
157,20,7200,NAmes,1Story,5,7,1950,Hip,TA,NA,0,Y,FuseF,1040,1,2,1,TA,5,0,2,625,0,6,2006,WD,Normal,109500
158,60,12003,Timber,2Story,8,5,2009,Gable,Gd,Ex,774,Y,SBrkr,1968,2,4,1,Ex,8,1,3,680,0,5,2010,New,Partial,269500
159,60,12552,Somerst,2Story,7,5,2004,Gable,Gd,Gd,991,Y,SBrkr,1947,2,3,1,Gd,8,1,2,678,0,5,2010,WD,Normal,254900
160,60,19378,Gilbert,2Story,7,5,2005,Gable,Gd,Gd,1392,Y,SBrkr,2462,2,4,1,Gd,9,1,2,576,0,3,2006,New,Partial,320000
161,20,11120,Veenker,1Story,6,6,1984,Gable,TA,Gd,1232,Y,SBrkr,1232,2,3,1,TA,6,0,2,516,0,6,2008,WD,Normal,162500
162,60,13688,NridgHt,2Story,9,5,2003,Gable,Gd,Ex,1572,Y,SBrkr,2668,2,3,1,Ex,10,2,3,726,0,3,2008,WD,Normal,412500
